P,seed,n_frames,n_paired_beads,p_invalid,p_invalid_no_wall_diagnostic,zeta_median,zeta_p95,zeta_max_sampled,p_zeta_gt_2,p_zeta_gt_5,rho_mean_nm,rho_median_nm,rho_p05_nm,rho_p95_nm,acceptance_local_e,acceptance_local_h,acceptance_staging,acceptance_global_joint,elapsed_s,path,path_sha256,status
128,159003,2250,288000,0.9159444444444444,0.9159444444444444,17.351093292236328,26.250425338745117,27.240474700927734,0.9124236111111111,0.8989861111111112,1.788666844367981,1.5960257053375244,0.3809192180633545,3.8619496822357178,0.8615618055555555,0.8888517361111111,0.34952222222222223,0.01678445229681979,4.467466831207275,reconstructed_chains/P128_seed159003.npz,dc49cdaeb0e36bb7346633b249041561b2643406674762f66305163492eb9dec,reconstructed
128,159004,2250,288000,0.9169895833333334,0.9169895833333334,17.26617431640625,26.25424575805664,27.301956176757812,0.9132361111111111,0.8999513888888889,1.8048306703567505,1.6120097637176514,0.3835802674293518,3.8906195163726807,0.8612715277777778,0.8888692708333333,0.3520888888888889,0.014256619144602852,4.249970436096191,reconstructed_chains/P128_seed159004.npz,844404849b19dbc575cb829de42fe98388942dfce392117673e80d9bb0b0770a,reconstructed
128,159005,2250,288000,0.9152256944444445,0.9152256944444445,17.320648193359375,26.254905700683594,27.255329132080078,0.911375,0.8980277777777778,1.7896167039871216,1.5940930843353271,0.38005495071411133,3.872394323348999,0.8610496527777778,0.8888352430555555,0.3499333333333333,0.015422717550377125,4.296486139297485,reconstructed_chains/P128_seed159005.npz,95f10b909c60e4a595ad2776d63de0b84cc136b4ae794d4e3512fae506489c08,reconstructed
128,159006,2250,288000,0.9170625,0.9170625,17.294130325317383,26.249176025390625,27.251893997192383,0.9133958333333333,0.9000729166666667,1.8058172464370728,1.611055850982666,0.3833443820476532,3.896665334701538,0.8612222222222222,0.8888192708333333,0.35099444444444444,0.01381578947368421,4.671249628067017,reconstructed_chains/P128_seed159006.npz,6068d681d28e1744a7bc2a7d442c4883df018da269ddd8356549e47fd098f2d5,reconstructed
128,159007,2250,288000,0.9162673611111111,0.9162673611111111,17.28778076171875,26.252944946289062,27.204984664916992,0.9126701388888889,0.9003541666666667,1.8019229173660278,1.6060335636138916,0.3836115598678589,3.8862247467041016,0.8613402777777778,0.8890024305555555,0.3526444444444444,0.014917127071823204,4.303066968917847,reconstructed_chains/P128_seed159007.npz,288d510129c91d5454f723e9c4910c3112bf945e22f6cd5d3b2a73d31c4ddf7a,reconstructed
128,159008,2250,288000,0.9151493055555555,0.9151493055555555,17.318683624267578,26.25191307067871,27.215803146362305,0.9112847222222222,0.8982847222222222,1.7926373481750488,1.598447561264038,0.3770538568496704,3.893537998199463,0.8612272569444445,0.8888939236111111,0.3488722222222222,0.01411111111111111,4.348912715911865,reconstructed_chains/P128_seed159008.npz,ad200e649e4ebf692e269368bb19b85859a6cf7db189c7959ea4e7bf8035cf2c,reconstructed
128,159009,2250,288000,0.9157222222222222,0.9157222222222222,17.375507354736328,26.25456428527832,27.22616958618164,0.9118333333333334,0.899,1.783591389656067,1.5948030948638916,0.3790634572505951,3.852191686630249,0.8614612847222223,0.8887430555555556,0.34830555555555553,0.017099711303575394,4.388076305389404,reconstructed_chains/P128_seed159009.npz,600783a65509a71c65226531f3de47a1a8a9a2cc841b6a619c51c657dbfd821e,reconstructed
256,287000,2250,576000,0.9217135416666666,0.9217135416666666,17.445934295654297,26.251487731933594,27.239776611328125,0.9185381944444444,0.9075520833333334,1.802793025970459,1.618938684463501,0.40159207582473755,3.843320608139038,0.808403125,0.8474002604166667,0.4454388888888889,0.013258203513423931,8.407838344573975,reconstructed_chains/P256_seed287000.npz,327fadc8e69e4b0cb9ecbb9b0c8c1d244c5a70a1a36e2ddfdbee68586cab89ed,reconstructed
256,287001,2250,576000,0.9243663194444445,0.9243663194444445,17.317790985107422,26.247966766357422,27.225914001464844,0.9209774305555556,0.9083559027777778,1.8301334381103516,1.6341995000839233,0.4064594507217407,3.92182993888855,0.8081321180555555,0.8473925347222222,0.45290555555555556,0.014190687361419069,8.28382420539856,reconstructed_chains/P256_seed287001.npz,39fba58ba0540571f5b812898e3a6e67e067552da51f201089f2ca996919a4cf,reconstructed
256,287002,2250,576000,0.9253072916666667,0.9253072916666667,17.339641571044922,26.24751091003418,27.253259658813477,0.92184375,0.9094861111111111,1.8213382959365845,1.6361982822418213,0.40625762939453125,3.8749513626098633,0.8082596354166667,0.8474581597222223,0.4499722222222222,0.014446952595936794,8.400188207626343,reconstructed_chains/P256_seed287002.npz,bd690d2b72f7373ef1dc916f72ca71c7ef00d0f425e362fd6c9e0478cab291b7,reconstructed
256,287003,2250,576000,0.9259565972222222,0.9259583333333333,17.293691635131836,26.246631622314453,27.263473510742188,0.9225503472222222,0.9091145833333333,1.829086422920227,1.643114447593689,0.4088693857192993,3.890428066253662,0.8082915798611111,0.8473434895833334,0.45113333333333333,0.013877919440370078,8.419604778289795,reconstructed_chains/P256_seed287003.npz,4d67250d509c674c47df4ba5b0d8142d480dbc0456f4da552c31072e2125bcee,reconstructed
256,287004,2250,576000,0.925640625,0.9256423611111111,17.24585723876953,26.241073608398438,27.284730911254883,0.9223871527777778,0.9091302083333334,1.8420774936676025,1.6468653678894043,0.41055524349212646,3.941599130630493,0.8085614583333334,0.8475709201388889,0.4519722222222222,0.014707546102500283,8.233372211456299,reconstructed_chains/P256_seed287004.npz,5a0fd7dee211fc65ae461637266a1632ad0333467854933992ba8048de0da1e5,reconstructed
256,287005,2250,576000,0.9244756944444444,0.9244756944444444,17.305221557617188,26.24279022216797,27.223880767822266,0.9212621527777778,0.9088003472222222,1.8245679140090942,1.6396942138671875,0.407569020986557,3.878340721130371,0.8085160590277778,0.8475142361111111,0.45111111111111113,0.013746088511399196,8.264858722686768,reconstructed_chains/P256_seed287005.npz,b003c283f7fcae5e95aefee12797b4d5d3799e8e13404828b90d3726507e126a,reconstructed
256,287006,2250,576000,0.9245763888888889,0.9245850694444444,17.313411712646484,26.246700286865234,27.271085739135742,0.9211267361111111,0.9080434027777777,1.8299086093902588,1.6351065635681152,0.4067476987838745,3.9236817359924316,0.8085006944444444,0.8476533854166667,0.4510388888888889,0.014045565140455652,8.153742551803589,reconstructed_chains/P256_seed287006.npz,cfec4f09c91d23e33b087dc64c6788a4b3e3faa85f1a4397c81ad7ee7a8b8042,reconstructed
256,287007,2250,576000,0.9255572916666667,0.9255572916666667,17.34563636779785,26.24671173095703,27.27256965637207,0.9220659722222222,0.9098923611111112,1.827877163887024,1.638676643371582,0.4088801443576813,3.8945703506469727,0.8082964409722222,0.8477824652777778,0.45111666666666667,0.014678291579295883,10.438096284866333,reconstructed_chains/P256_seed287007.npz,38626349634ddf5f7340d6dd0b474ea47b8ef57c87c7c11a759f4d29ae1d7791,reconstructed
256,287008,2250,576000,0.92503125,0.92503125,17.26962661743164,26.248363494873047,27.25127410888672,0.9214791666666666,0.908375,1.8327795267105103,1.641682505607605,0.4052385091781616,3.9155466556549072,0.8083362847222222,0.8474717881944445,0.45171666666666666,0.013244296048970506,8.26815390586853,reconstructed_chains/P256_seed287008.npz,2adff6656242ee1faf98adccc082feabd789176224a63a7b362c75a6bb5b6257,reconstructed
256,287009,2250,576000,0.9258993055555556,0.9258993055555556,17.3050537109375,26.246065139770508,27.23349952697754,0.9223003472222222,0.9089565972222222,1.8299860954284668,1.6404688358306885,0.4086087644100189,3.8993027210235596,0.80832734375,0.8475690104166667,0.44905,0.016264660323080327,8.231333494186401,reconstructed_chains/P256_seed287009.npz,bb7af26cb4abc0cabd739e78aaf10389f497003389d07f640eeca290fe6fc8cd,reconstructed
