seed,P,n_steps,burn_in,sample_every,block_index,n_blocks,frame_start_in_raw,frame_end_in_raw_inclusive,mc_step_start,mc_step_end,mc_step_center,n_frames,n_paired_beads,p_inv,zeta50,w_zeta_gt5,rho_median,rho_mean
912561,256,240000,15000,20,7,8,8438,9843,183760,211860,197810.0,1406,359936,0.9238225684566145,17.406845092773438,0.9079530805476529,1.6284724473953247,1.8177318572998047
912561,256,240000,15000,20,8,8,9844,11249,211880,239980,225930.0,1406,359936,0.923958703769559,17.40071678161621,0.9074529916429588,1.625239372253418,1.814017415046692
912561,256,240000,30000,20,1,8,750,2062,30000,56240,43120.0,1313,336128,0.9231096487052551,17.39621925354004,0.9075768754760092,1.6254903078079224,1.8122020959854126
912561,256,240000,30000,20,2,8,2063,3375,56260,82500,69380.0,1313,336128,0.926855245620716,17.305721282958984,0.9102276513709063,1.643502116203308,1.8354871273040771
912561,256,240000,30000,20,3,8,3376,4688,82520,108760,95640.0,1313,336128,0.9244751999238385,17.35445213317871,0.9085378189261234,1.6336688995361328,1.8204444646835327
912561,256,240000,30000,20,4,8,4689,6001,108780,135020,121900.0,1313,336128,0.9254837442878904,17.20279312133789,0.9093053836633663,1.6517055034637451,1.8434809446334839
912561,256,240000,30000,20,5,8,6002,7313,135040,161260,148150.0,1312,335872,0.9238221703506098,17.43274688720703,0.9065536871189024,1.6220539808273315,1.8141847848892212
912561,256,240000,30000,20,6,8,7314,8625,161280,187500,174390.0,1312,335872,0.9239382860137195,17.355812072753906,0.9076314786585366,1.6286426782608032,1.8181453943252563
912561,256,240000,30000,20,7,8,8626,9937,187520,213740,200630.0,1312,335872,0.9247362090320121,17.351329803466797,0.9085306307164634,1.6365461349487305,1.826231837272644
912561,256,240000,30000,20,8,8,9938,11249,213760,239980,226870.0,1312,335872,0.9239055354420732,17.42397689819336,0.9072652677210366,1.622436285018921,1.8114914894104004
912561,256,240000,60000,20,1,8,2250,3374,60000,82480,71240.0,1125,288000,0.9267361111111111,17.328208923339844,0.9102222222222223,1.6401492357254028,1.8315763473510742
912561,256,240000,60000,20,2,8,3375,4499,82500,104980,93740.0,1125,288000,0.9239722222222222,17.400833129882812,0.9082534722222222,1.629084587097168,1.8148852586746216
912561,256,240000,60000,20,3,8,4500,5624,105000,127480,116240.0,1125,288000,0.9258263888888889,17.234058380126953,0.9094618055555556,1.6477856636047363,1.837349772453308
912561,256,240000,60000,20,4,8,5625,6749,127500,149980,138740.0,1125,288000,0.9239444444444445,17.314640045166016,0.9076875,1.6381375789642334,1.8311970233917236
912561,256,240000,60000,20,5,8,6750,7874,150000,172480,161240.0,1125,288000,0.9237256944444444,17.375656127929688,0.9063402777777778,1.6255966424942017,1.8193347454071045
912561,256,240000,60000,20,6,8,7875,8999,172500,194980,183740.0,1125,288000,0.92415625,17.500518798828125,0.9083923611111111,1.612970232963562,1.7976573705673218
912561,256,240000,60000,20,7,8,9000,10124,195000,217480,206240.0,1125,288000,0.9250347222222223,17.236223220825195,0.90840625,1.6517333984375,1.843748688697815
912561,256,240000,60000,20,8,8,10125,11249,217500,239980,228740.0,1125,288000,0.9241076388888889,17.41520118713379,0.9072777777777777,1.6224486827850342,1.8120226860046387
912562,256,240000,15000,20,1,8,0,1406,15000,43120,29060.0,1407,360192,0.9264836531627576,17.18234634399414,0.9088763770433547,1.651883602142334,1.8457697629928589
912562,256,240000,15000,20,2,8,1407,2813,43140,71260,57200.0,1407,360192,0.9247540200781805,17.400978088378906,0.9075520833333334,1.628685712814331,1.8202846050262451
912562,256,240000,15000,20,3,8,2814,4219,71280,99380,85330.0,1406,359936,0.9251172430654339,17.275894165039062,0.9086365353840683,1.6439201831817627,1.8349567651748657
912562,256,240000,15000,20,4,8,4220,5625,99400,127500,113450.0,1406,359936,0.9241948568634424,17.268081665039062,0.9073752000355618,1.638984203338623,1.8311500549316406
912562,256,240000,15000,20,5,8,5626,7031,127520,155620,141570.0,1406,359936,0.9239475906827881,17.35249137878418,0.9076085748577525,1.6285616159439087,1.8185762166976929
912562,256,240000,15000,20,6,8,7032,8437,155640,183740,169690.0,1406,359936,0.9259451680298719,17.329200744628906,0.909720061344239,1.638740062713623,1.8296422958374023
912562,256,240000,15000,20,7,8,8438,9843,183760,211860,197810.0,1406,359936,0.9252756045519204,17.219905853271484,0.9091949679943101,1.6474311351776123,1.8415714502334595
912562,256,240000,15000,20,8,8,9844,11249,211880,239980,225930.0,1406,359936,0.9242281961237553,17.426620483398438,0.907603018314367,1.6219117641448975,1.8131296634674072
912562,256,240000,30000,20,1,8,750,2062,30000,56240,43120.0,1313,336128,0.9266142659939071,17.296897888183594,0.9097754426884996,1.644808292388916,1.8349919319152832
912562,256,240000,30000,20,2,8,2063,3375,56260,82500,69380.0,1313,336128,0.924150918697639,17.365543365478516,0.9071246667936025,1.6309019327163696,1.825792908668518
912562,256,240000,30000,20,3,8,3376,4688,82520,108760,95640.0,1313,336128,0.9241360434120335,17.278902053833008,0.9072912699923839,1.6352858543395996,1.827019453048706
912562,256,240000,30000,20,4,8,4689,6001,108780,135020,121900.0,1313,336128,0.925105912033511,17.21352767944336,0.9090078779512567,1.6513142585754395,1.8414274454116821
912562,256,240000,30000,20,5,8,6002,7313,135040,161260,148150.0,1312,335872,0.9235512338033537,17.436439514160156,0.9073664967606707,1.6197402477264404,1.8085390329360962
