seed,block,start_sweep_inclusive,end_sweep_exclusive,n_saved_samples,energy_mean
132012,1,32000,48000,3200,0.6775285758244989
132012,2,48000,64000,3200,0.6808363614067505
132012,3,64000,80000,3200,0.6456773944151266
132012,4,80000,96000,3200,0.6480399893862706
132012,5,96000,112000,3200,0.6708342584969919
132012,6,112000,128000,3200,0.6223990633483295
132012,7,128000,144000,3200,0.7168189019386506
132012,8,144000,160000,3200,0.7304590831880811
132013,1,32000,48000,3200,0.7087115038103738
132013,2,48000,64000,3200,0.7301105812481515
132013,3,64000,80000,3200,0.6250380492593111
132013,4,80000,96000,3200,0.649103946222648
132013,5,96000,112000,3200,0.6555540728525182
132013,6,112000,128000,3200,0.6396826043482146
132013,7,128000,144000,3200,0.6039306085166883
132013,8,144000,160000,3200,0.6634492432920078
132014,1,32000,48000,3200,0.6913435221122316
132014,2,48000,64000,3200,0.6588728493850685
132014,3,64000,80000,3200,0.6195979002245974
132014,4,80000,96000,3200,0.7154814875774714
132014,5,96000,112000,3200,0.6334695921732264
132014,6,112000,128000,3200,0.6580817891060079
132014,7,128000,144000,3200,0.719022037258976
132014,8,144000,160000,3200,0.7081627555697052
132015,1,32000,48000,3200,0.5974437655199901
132015,2,48000,64000,3200,0.6566724790949573
132015,3,64000,80000,3200,0.6024182127691476
132015,4,80000,96000,3200,0.6616534023032318
132015,5,96000,112000,3200,0.652495853368469
132015,6,112000,128000,3200,0.6254133198576141
132015,7,128000,144000,3200,0.5817490558953974
132015,8,144000,160000,3200,0.6942657008788541
132016,1,32000,48000,3200,0.6242248485067334
132016,2,48000,64000,3200,0.6158837543631781
132016,3,64000,80000,3200,0.636092805750108
132016,4,80000,96000,3200,0.6573455278088809
132016,5,96000,112000,3200,0.7181960901094486
132016,6,112000,128000,3200,0.6341098109539716
132016,7,128000,144000,3200,0.6789377930054176
132016,8,144000,160000,3200,0.7122259530856742
